words,Count
risk,6
shameful,6
concerns,4
haunt,4
limitations,2
crisis,29
mystery,150
fail,9
crime,8
addict,2
lost,28
denied,8
fake,7
wary,5
infected,3
virus,4
shocking,3
trauma,1
shrug,1
fall,20
deprived,3
fucking,2
worst,2
funny,5
poor,5
inequalities,4
joke,3
cancer,4
lied,1
lose,6
emergency,17
loss,2
tyrant,1
vulnerable,13
havoc,6
losses,3
fuck,3
decline,1
awfully,1
breaks,2
bad,2
cruel,3
prison,5
cynical,1
weird,1
cloud,69
vice,11
infection,2
deaf,3
hard,18
idiot,2
debt,3
overwhelmed,2
concern,4
exorbitantly,3
daze,1
uninsured,1
harsh,1
layoff,1
problem,2
lack,4
deadly,2
dumb,1
hassle,1
issue,4
disgusting,1
panders,1
hating,1
losing,8
worried,4
stuck,12
moribund,1
lacks,2
critical,2
mistake,2
challenging,3
sue,6
wrong,3
incessantly,1
impose,4
freeze,5
shortage,1
crazy,2
invisible,1
threat,2
terrible,2
error,1
limits,2
scam,1
joker,1
idiotic,2
attack,2
doubts,3
redundant,3
pity,2
liar,1
misleading,1
arrogant,1
ignorant,1
slap,1
evils,2
assassinate,2
oppose,2
difficulties,1
crack,2
false,1
confusion,2
criticize,1
misunderstanding,1
break,1
broke,1
lacking,2
rape,1
complaints,1
issues,21
recession,2
died,1
lying,3
substandard,1
severe,2
bullying,1
hang,2
unforeseen,1
struck,1
conservative,1
difficult,3
suffering,1
turbulent,1
miss,1
damaged,1
broken,2
risks,1
sham,2
radically,1
dead,1
restricted,1
stupidity,7
hypocrisy,7
dropout,1
limited,1
illiterate,1
hell,1
stigma,1
shit,1
distorted,1
slow,1
painful,1
worries,1
undecided,1
costly,3
epidemic,2
incomplete,1
tired,2
isolation,1
hate,2
alarm,1
afraid,4
freezes,4
hates,2
spoil,1
crashing,4
procrastinate,1
rip,2
problems,3
failed,1
struggling,4
laughable,1
complex,1
crap,14
inability,2
morons,1
fool,1
superstition,1
unwilling,1
filthy,1
bullshit,1
useless,7
ridiculous,7
wild,2
disruption,5
stealing,1
burn,2
shame,1
warning,1
allegations,1
desert,1
lie,3
evil,4
pan,1
breaking,11
detrimental,1
aborted,1
rotten,1
moody,2
jeopardy,1
sarcasm,1
crippled,1
crashes,1
harmed,1
tension,1
inequality,1
trap,1
breakdown,1
puppet,1
fist,1
hardships,1
slower,1
sad,1
downturns,1
embarrassing,1
protested,3
damning,2
criticism,1
bs,1
chaos,2
viper,1
inept,1
fraud,9
concerned,1
drunk,1
pain,1
scrambling,1
flawed,3
complaining,1
worry,1
lewd,1
hurts,1
ugly,1
collapse,5
doubt,1
worrying,1
haters,1
imbecile,1
chill,1
sorry,2
danger,1
worse,1
insolence,1
illegal,3
burning,1
cursed,1
strict,1
outbreak,1
kill,1
limit,1
treasonous,1
killed,1
isolate,2
gloomy,1
harms,1
damage,3
guilt,1
unemployed,1
struggle,2
interference,1
martyrdom,1
sickness,1
adversity,1
fraudulent,1
wreaks,1
egregiously,1
irresponsible,1
trouble,1
sap,1
interferes,1
lies,1
problematic,1
ignore,1
dire,1
disagree,1
scams,1
assault,1
delays,1
untrue,1
attacks,1
hurt,1
disgrace,1
split,1
forbidden,1
