Tweet,Message,Match,Polarity
0, RT    Pleased to announce that I have officially committed to the University of Utah  There I will further my football career an,pleased,positive
1, RT   27  Congratulations to       for signing with Falcon University to further their education and p,congratulations,positive
2, On the sands of the Coral Gable  the University of Miami offers an architectural education,NONE,neutral
3, RT   27  Congratulations to       for signing with Falcon University to further their education and p,congratulations,positive
4, RT    Pleased to announce that I have officially committed to the University of Utah  There I will further my football career an,pleased,positive
5, James99   You don t need a university education to understand  It s the journalists who need an educa,NONE,neutral
6, RT    The top 10 countries for future skills and education    1  Finland    2  Switzerland    3  New Zealand    4  Sweden,top,positive
7, RT    Sir Timothy Brighouse was Outward Bound director from mid 2003 until mid 2006  He was employed as Birmingham Council s educat,NONE,neutral
8, As schools move their teaching online  we must be cautious of the risk of amplifying our shameful record of inequal,"risk,shameful",negative
9, RT    Pleased to announce that I have officially committed to the University of Utah  There I will further my football career an,pleased,positive
10, RT   Blockchain  Neo and   blockchain    en  the largest university in Switzerland  established a long term partnership to promote,NONE,neutral
11, RT    Pleased to announce that I have officially committed to the University of Utah  There I will further my football career an,pleased,positive
12, I left due to my formal education at a Jesuit University th,NONE,neutral
13, RT    Congrats to Brody Wilson 2020 from Deer Park High School who will be continuing his education and baseball career at E,NONE,neutral
14, RT    A four page letter addressed to Hardin Simmons University leadership declares a number of concerns that could haunt the u,"concerns,haunt",negative
15, RT    Due to testing limitations related to the ongoing COVID 19 health crisis  Belhaven University is temporarily waiving MAT and,"limitations,crisis",negative
16, RT   frida most   mystery  Due to Nalanda University  India was the   visv guru  of the world Above 10 000 students used to study in this c,mystery,negative
17, RT   25  Excited to announce my commitment to continue my education and play hockey at University of Alaska Anchorage  Huge thanks to,"excited,commitment",positive
18, But then  when I think of it  at the time I began university teaching in the early 1970s  my best students they co,best,positive
19, RT    Check out these five parenting tips for parents of children with autism  provided by Saint Joseph s University s,saint,positive
20, I am currently obtaining my degree in Computer Science at Colorado Technic,NONE,neutral
21, RT   27  Congratulations to       for signing with Falcon University to further their education and p,congratulations,positive
22, RT    A four page letter addressed to Hardin Simmons University leadership declares a number of concerns that could haunt the u,"concerns,haunt",negative
23, RT    A four page letter addressed to Hardin Simmons University leadership declares a number of concerns that could haunt the u,"concerns,haunt",negative
24, RT    Pleased to announce that I have officially committed to the University of Utah  There I will further my football career an,pleased,positive
25, RT    Former CCC Tiger Marcus Summerville had an outstanding year for Fisk University  Summerville made the Association of Ind,outstanding,positive
26, RT    A four page letter addressed to Hardin Simmons University leadership declares a number of concerns that could haunt the u,"concerns,haunt",negative
27, RT    Pleased to announce that I have officially committed to the University of Utah  There I will further my football career an,pleased,positive
