title,year,imdb_id,type,poster
Big Brother Canada,2013–,tt2776888,series,https://m.media-amazon.com/images/M/MV5BZjY5MTUzYTUtNjA2MS00ZDUzLTgyMzUtNmQ2MTE2ZWJlMTNlXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg
My Internship in Canada,2015,tt4116116,movie,https://m.media-amazon.com/images/M/MV5BNzcwZTIyMWMtYmJjNy00ZmViLThlNGMtMTVjOTQyOWU4ZDA1XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg
Storage Wars Canada,2013–,tt3155428,series,https://m.media-amazon.com/images/M/MV5BNThlMTc2MWItZjM5OS00ZWM3LTg1NzItYTk4NDcxYjM3MTBhXkEyXkFqcGdeQXVyMjU1NTIzNTA@._V1_SX300.jpg
The Amazing Race Canada,2013–,tt3069720,series,https://m.media-amazon.com/images/M/MV5BMDYzZmE5OTEtNzkxNi00NjA2LTlmYjctYmE4MTdkNmY1ZmVkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg
MasterChef Canada,2014–,tt3219166,series,https://m.media-amazon.com/images/M/MV5BODA1MjEyMzY2MV5BMl5BanBnXkFtZTgwOTQ5NTA5NTE@._V1_SX300.jpg
Canada Russia '72,2006–,tt0484098,series,https://m.media-amazon.com/images/M/MV5BMTI0OTUzNDkxM15BMl5BanBnXkFtZTcwMzMwNzkzMQ@@._V1_SX300.jpg
Cab to Canada,1998,tt0161356,movie,https://m.media-amazon.com/images/M/MV5BYWZmZDVlY2QtMzU4OC00YTNjLWI5MzMtYTY4MDFjMjFjODA1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg
Canada Vignettes: Log Driver's Waltz,1979,tt0133932,movie,https://m.media-amazon.com/images/M/MV5BMTM1NDc4OTc3M15BMl5BanBnXkFtZTYwMDkwODY5._V1_SX300.jpg
Canada: A People's History,2000–,tt0264228,series,https://m.media-amazon.com/images/M/MV5BMTgzNTUzMjIwMl5BMl5BanBnXkFtZTcwMzQ1NzQyMQ@@._V1_SX300.jpg
So You Think You Can Dance Canada,2008–,tt1267314,series,https://m.media-amazon.com/images/M/MV5BZWJmZmJjZjEtODk0My00NmZjLTk2NjktNTk4ZWQ5ZDQxZTdmXkEyXkFqcGdeQXVyMjMwODU0MjI@._V1_SX300.jpg
Monsters University,2013,tt1453405,movie,https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg
The Dover Boys at Pimento University or The Rivals of Roquefort Hall,1942,tt0034675,movie,https://m.media-amazon.com/images/M/MV5BN2ZmMDJhYmEtOWJlOS00NTY1LThlMjctMmI0NGFiOTk3ZGFjXkEyXkFqcGdeQXVyNzU3NTk0NjA@._V1_SX300.jpg
Splatter University,1984,tt0125510,movie,https://m.media-amazon.com/images/M/MV5BNWMzZDJlZmMtZTQ0NC00Y2ZhLWI2NjEtMGMyZGFkZTkwMDBhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Sa'eedi in the American University,1998,tt0389340,movie,https://m.media-amazon.com/images/M/MV5BOTU0YWMxMDctNGY2YS00M2RkLThlZDgtM2I0Zjk0YjUxMDMwXkEyXkFqcGdeQXVyMjg0MzMwNzg@._V1_SX300.jpg
